idExperiment;op1;op2;repetitions;randomRange;floatingNumbers;randomStrategy;result
46;(x + y) + z;x + (y + z);1;10;0;1;1.0
47;(x + y) + z;x + (y + z);1;10;0;2;1.0
48;(x + y) + z;x + (y + z);1;10;1;0;1.0
49;(x + y) + z;x + (y + z);1;10;1;1;0.0
50;(x + y) + z;x + (y + z);1;10;1;2;1.0
51;(x + y) + z;x + (y + z);1;10;2;0;0.0
52;(x + y) + z;x + (y + z);1;10;2;1;1.0
53;(x + y) + z;x + (y + z);1;10;2;2;1.0
54;(x + y) + z;x + (y + z);1;10;5;0;0.0
55;(x + y) + z;x + (y + z);1;10;5;1;1.0
56;(x + y) + z;x + (y + z);1;10;5;2;0.0
57;(x + y) + z;x + (y + z);1;10;50;0;1.0
58;(x + y) + z;x + (y + z);1;10;50;1;0.0
59;(x + y) + z;x + (y + z);1;10;50;2;1.0
60;(x + y) + z;x + (y + z);1;100;0;0;0.0
61;(x + y) + z;x + (y + z);1;100;0;1;1.0
62;(x + y) + z;x + (y + z);1;100;0;2;1.0
63;(x + y) + z;x + (y + z);1;100;1;0;1.0
64;(x + y) + z;x + (y + z);1;100;1;1;1.0
65;(x + y) + z;x + (y + z);1;100;1;2;1.0
66;(x + y) + z;x + (y + z);1;100;2;0;1.0
67;(x + y) + z;x + (y + z);1;100;2;1;1.0
68;(x + y) + z;x + (y + z);1;100;2;2;1.0
69;(x + y) + z;x + (y + z);1;100;5;0;0.0
70;(x + y) + z;x + (y + z);1;100;5;1;1.0
71;(x + y) + z;x + (y + z);1;100;5;2;0.0
72;(x + y) + z;x + (y + z);1;100;50;0;1.0
73;(x + y) + z;x + (y + z);1;100;50;1;1.0
74;(x + y) + z;x + (y + z);1;100;50;2;0.0
75;(x + y) + z;x + (y + z);1;10000;0;0;1.0
76;(x + y) + z;x + (y + z);1;10000;0;1;1.0
77;(x + y) + z;x + (y + z);1;10000;0;2;1.0
78;(x + y) + z;x + (y + z);1;10000;1;0;1.0
79;(x + y) + z;x + (y + z);1;10000;1;1;1.0
80;(x + y) + z;x + (y + z);1;10000;1;2;1.0
81;(x + y) + z;x + (y + z);1;10000;2;0;0.0
82;(x + y) + z;x + (y + z);1;10000;2;1;1.0
83;(x + y) + z;x + (y + z);1;10000;2;2;1.0
84;(x + y) + z;x + (y + z);1;10000;5;0;1.0
85;(x + y) + z;x + (y + z);1;10000;5;1;1.0
86;(x + y) + z;x + (y + z);1;10000;5;2;1.0
87;(x + y) + z;x + (y + z);1;10000;50;0;1.0
88;(x + y) + z;x + (y + z);1;10000;50;1;0.0
89;(x + y) + z;x + (y + z);1;10000;50;2;1.0
90;(x + y) + z;x + (y + z);1;1000000;0;0;1.0
91;(x + y) + z;x + (y + z);1;1000000;0;1;0.0
92;(x + y) + z;x + (y + z);1;1000000;0;2;0.0
93;(x + y) + z;x + (y + z);1;1000000;1;0;1.0
94;(x + y) + z;x + (y + z);1;1000000;1;1;1.0
95;(x + y) + z;x + (y + z);1;1000000;1;2;0.0
96;(x + y) + z;x + (y + z);1;1000000;2;0;0.0
97;(x + y) + z;x + (y + z);1;1000000;2;1;1.0
98;(x + y) + z;x + (y + z);1;1000000;2;2;1.0
99;(x + y) + z;x + (y + z);1;1000000;5;0;1.0
100;(x + y) + z;x + (y + z);1;1000000;5;1;1.0
101;(x + y) + z;x + (y + z);1;1000000;5;2;1.0
102;(x + y) + z;x + (y + z);1;1000000;50;0;1.0
103;(x + y) + z;x + (y + z);1;1000000;50;1;0.0
104;(x + y) + z;x + (y + z);1;1000000;50;2;0.0
105;(x + y) + z;x + (y + z);10;1;0;0;1.0
106;(x + y) + z;x + (y + z);10;1;0;1;1.0
107;(x + y) + z;x + (y + z);10;1;0;2;1.0
108;(x + y) + z;x + (y + z);10;1;1;0;1.0
109;(x + y) + z;x + (y + z);10;1;1;1;0.6
110;(x + y) + z;x + (y + z);10;1;1;2;0.6
111;(x + y) + z;x + (y + z);10;1;2;0;1.0
112;(x + y) + z;x + (y + z);10;1;2;1;0.9
113;(x + y) + z;x + (y + z);10;1;2;2;0.8
114;(x + y) + z;x + (y + z);10;1;5;0;1.0
115;(x + y) + z;x + (y + z);10;1;5;1;0.8
116;(x + y) + z;x + (y + z);10;1;5;2;0.7
117;(x + y) + z;x + (y + z);10;1;50;0;1.0
118;(x + y) + z;x + (y + z);10;1;50;1;0.8
119;(x + y) + z;x + (y + z);10;1;50;2;0.8
120;(x + y) + z;x + (y + z);10;3;0;0;0.8
121;(x + y) + z;x + (y + z);10;3;0;1;0.6
122;(x + y) + z;x + (y + z);10;3;0;2;0.6
123;(x + y) + z;x + (y + z);10;3;1;0;1.0
124;(x + y) + z;x + (y + z);10;3;1;1;0.9
125;(x + y) + z;x + (y + z);10;3;1;2;0.6
126;(x + y) + z;x + (y + z);10;3;2;0;0.9
127;(x + y) + z;x + (y + z);10;3;2;1;0.9
128;(x + y) + z;x + (y + z);10;3;2;2;0.7
129;(x + y) + z;x + (y + z);10;3;5;0;0.8
130;(x + y) + z;x + (y + z);10;3;5;1;0.8
131;(x + y) + z;x + (y + z);10;3;5;2;0.9
132;(x + y) + z;x + (y + z);10;3;50;0;0.9
133;(x + y) + z;x + (y + z);10;3;50;1;0.8
134;(x + y) + z;x + (y + z);10;3;50;2;0.8
135;(x + y) + z;x + (y + z);10;5;0;0;0.7
136;(x + y) + z;x + (y + z);10;5;0;1;0.9
137;(x + y) + z;x + (y + z);10;5;0;2;0.9
138;(x + y) + z;x + (y + z);10;5;1;0;1.0
139;(x + y) + z;x + (y + z);10;5;1;1;0.6
140;(x + y) + z;x + (y + z);10;5;1;2;0.6
141;(x + y) + z;x + (y + z);10;5;2;0;0.6
142;(x + y) + z;x + (y + z);10;5;2;1;0.8
143;(x + y) + z;x + (y + z);10;5;2;2;0.8
144;(x + y) + z;x + (y + z);10;5;5;0;0.9
145;(x + y) + z;x + (y + z);10;5;5;1;0.8
146;(x + y) + z;x + (y + z);10;5;5;2;0.9
147;(x + y) + z;x + (y + z);10;5;50;0;0.8
148;(x + y) + z;x + (y + z);10;5;50;1;0.9
149;(x + y) + z;x + (y + z);10;5;50;2;0.8
150;(x + y) + z;x + (y + z);10;10;0;0;1.0
151;(x + y) + z;x + (y + z);10;10;0;1;0.4
152;(x + y) + z;x + (y + z);10;10;0;2;0.8
153;(x + y) + z;x + (y + z);10;10;1;0;1.0
154;(x + y) + z;x + (y + z);10;10;1;1;0.8
155;(x + y) + z;x + (y + z);10;10;1;2;0.7
156;(x + y) + z;x + (y + z);10;10;2;0;1.0
157;(x + y) + z;x + (y + z);10;10;2;1;0.6
158;(x + y) + z;x + (y + z);10;10;2;2;0.8
159;(x + y) + z;x + (y + z);10;10;5;0;0.8
160;(x + y) + z;x + (y + z);10;10;5;1;0.9
161;(x + y) + z;x + (y + z);10;10;5;2;1.0
162;(x + y) + z;x + (y + z);10;10;50;0;0.7
163;(x + y) + z;x + (y + z);10;10;50;1;0.9
164;(x + y) + z;x + (y + z);10;10;50;2;0.8
165;(x + y) + z;x + (y + z);10;100;0;0;0.9
166;(x + y) + z;x + (y + z);10;100;0;1;1.0
167;(x + y) + z;x + (y + z);10;100;0;2;0.8
168;(x + y) + z;x + (y + z);10;100;1;0;0.7
169;(x + y) + z;x + (y + z);10;100;1;1;0.7
170;(x + y) + z;x + (y + z);10;100;1;2;0.8
171;(x + y) + z;x + (y + z);10;100;2;0;0.7
172;(x + y) + z;x + (y + z);10;100;2;1;0.8
173;(x + y) + z;x + (y + z);10;100;2;2;0.7
174;(x + y) + z;x + (y + z);10;100;5;0;0.8
175;(x + y) + z;x + (y + z);10;100;5;1;0.9
176;(x + y) + z;x + (y + z);10;100;5;2;0.7
177;(x + y) + z;x + (y + z);10;100;50;0;0.9
178;(x + y) + z;x + (y + z);10;100;50;1;0.6
179;(x + y) + z;x + (y + z);10;100;50;2;1.0
180;(x + y) + z;x + (y + z);10;10000;0;0;0.7
181;(x + y) + z;x + (y + z);10;10000;0;1;0.9
182;(x + y) + z;x + (y + z);10;10000;0;2;0.6
183;(x + y) + z;x + (y + z);10;10000;1;0;0.8
184;(x + y) + z;x + (y + z);10;10000;1;1;0.8
185;(x + y) + z;x + (y + z);10;10000;1;2;0.5
186;(x + y) + z;x + (y + z);10;10000;2;0;0.9
187;(x + y) + z;x + (y + z);10;10000;2;1;0.6
188;(x + y) + z;x + (y + z);10;10000;2;2;0.6
189;(x + y) + z;x + (y + z);10;10000;5;0;0.8
190;(x + y) + z;x + (y + z);10;10000;5;1;0.9
191;(x + y) + z;x + (y + z);10;10000;5;2;0.9
192;(x + y) + z;x + (y + z);10;10000;50;0;0.7
193;(x + y) + z;x + (y + z);10;10000;50;1;1.0
194;(x + y) + z;x + (y + z);10;10000;50;2;0.9
195;(x + y) + z;x + (y + z);10;1000000;0;0;0.6
196;(x + y) + z;x + (y + z);10;1000000;0;1;1.0
197;(x + y) + z;x + (y + z);10;1000000;0;2;0.6
198;(x + y) + z;x + (y + z);10;1000000;1;0;0.5
199;(x + y) + z;x + (y + z);10;1000000;1;1;0.9
200;(x + y) + z;x + (y + z);10;1000000;1;2;0.8
201;(x + y) + z;x + (y + z);10;1000000;2;0;0.5
202;(x + y) + z;x + (y + z);10;1000000;2;1;0.5
203;(x + y) + z;x + (y + z);10;1000000;2;2;0.8
204;(x + y) + z;x + (y + z);10;1000000;5;0;0.7
205;(x + y) + z;x + (y + z);10;1000000;5;1;0.8
206;(x + y) + z;x + (y + z);10;1000000;5;2;0.6
207;(x + y) + z;x + (y + z);10;1000000;50;0;0.5
208;(x + y) + z;x + (y + z);10;1000000;50;1;0.9
209;(x + y) + z;x + (y + z);10;1000000;50;2;0.6
210;(x + y) + z;x + (y + z);100;1;0;0;0.98
211;(x + y) + z;x + (y + z);100;1;0;1;0.81
212;(x + y) + z;x + (y + z);100;1;0;2;0.84
213;(x + y) + z;x + (y + z);100;1;1;0;0.93
214;(x + y) + z;x + (y + z);100;1;1;1;0.8
215;(x + y) + z;x + (y + z);100;1;1;2;0.7
216;(x + y) + z;x + (y + z);100;1;2;0;0.97
217;(x + y) + z;x + (y + z);100;1;2;1;0.77
218;(x + y) + z;x + (y + z);100;1;2;2;0.78
219;(x + y) + z;x + (y + z);100;1;5;0;0.96
220;(x + y) + z;x + (y + z);100;1;5;1;0.69
221;(x + y) + z;x + (y + z);100;1;5;2;0.74
222;(x + y) + z;x + (y + z);100;1;50;0;0.97
223;(x + y) + z;x + (y + z);100;1;50;1;0.8
224;(x + y) + z;x + (y + z);100;1;50;2;0.79
225;(x + y) + z;x + (y + z);100;3;0;0;0.91
226;(x + y) + z;x + (y + z);100;3;0;1;0.82
227;(x + y) + z;x + (y + z);100;3;0;2;0.76
228;(x + y) + z;x + (y + z);100;3;1;0;0.89
229;(x + y) + z;x + (y + z);100;3;1;1;0.8
230;(x + y) + z;x + (y + z);100;3;1;2;0.78
231;(x + y) + z;x + (y + z);100;3;2;0;0.87
232;(x + y) + z;x + (y + z);100;3;2;1;0.73
233;(x + y) + z;x + (y + z);100;3;2;2;0.76
234;(x + y) + z;x + (y + z);100;3;5;0;0.89
235;(x + y) + z;x + (y + z);100;3;5;1;0.81
236;(x + y) + z;x + (y + z);100;3;5;2;0.74
237;(x + y) + z;x + (y + z);100;3;50;0;0.9
238;(x + y) + z;x + (y + z);100;3;50;1;0.81
239;(x + y) + z;x + (y + z);100;3;50;2;0.78
240;(x + y) + z;x + (y + z);100;5;0;0;0.88
241;(x + y) + z;x + (y + z);100;5;0;1;0.79
242;(x + y) + z;x + (y + z);100;5;0;2;0.75
243;(x + y) + z;x + (y + z);100;5;1;0;0.87
244;(x + y) + z;x + (y + z);100;5;1;1;0.73
245;(x + y) + z;x + (y + z);100;5;1;2;0.74
246;(x + y) + z;x + (y + z);100;5;2;0;0.85
247;(x + y) + z;x + (y + z);100;5;2;1;0.75
248;(x + y) + z;x + (y + z);100;5;2;2;0.78
249;(x + y) + z;x + (y + z);100;5;5;0;0.89
250;(x + y) + z;x + (y + z);100;5;5;1;0.73
251;(x + y) + z;x + (y + z);100;5;5;2;0.8
252;(x + y) + z;x + (y + z);100;5;50;0;0.92
253;(x + y) + z;x + (y + z);100;5;50;1;0.81
254;(x + y) + z;x + (y + z);100;5;50;2;0.64
255;(x + y) + z;x + (y + z);100;10;0;0;0.8
256;(x + y) + z;x + (y + z);100;10;0;1;0.76
257;(x + y) + z;x + (y + z);100;10;0;2;0.83
258;(x + y) + z;x + (y + z);100;10;1;0;0.7
259;(x + y) + z;x + (y + z);100;10;1;1;0.79
260;(x + y) + z;x + (y + z);100;10;1;2;0.8
261;(x + y) + z;x + (y + z);100;10;2;0;0.83
262;(x + y) + z;x + (y + z);100;10;2;1;0.72
263;(x + y) + z;x + (y + z);100;10;2;2;0.81
264;(x + y) + z;x + (y + z);100;10;5;0;0.83
265;(x + y) + z;x + (y + z);100;10;5;1;0.75
266;(x + y) + z;x + (y + z);100;10;5;2;0.76
267;(x + y) + z;x + (y + z);100;10;50;0;0.8
268;(x + y) + z;x + (y + z);100;10;50;1;0.83
269;(x + y) + z;x + (y + z);100;10;50;2;0.79
270;(x + y) + z;x + (y + z);100;100;0;0;0.75
271;(x + y) + z;x + (y + z);100;100;0;1;0.7
272;(x + y) + z;x + (y + z);100;100;0;2;0.76
273;(x + y) + z;x + (y + z);100;100;1;0;0.77
274;(x + y) + z;x + (y + z);100;100;1;1;0.78
275;(x + y) + z;x + (y + z);100;100;1;2;0.66
276;(x + y) + z;x + (y + z);100;100;2;0;0.79
277;(x + y) + z;x + (y + z);100;100;2;1;0.71
278;(x + y) + z;x + (y + z);100;100;2;2;0.75
279;(x + y) + z;x + (y + z);100;100;5;0;0.81
280;(x + y) + z;x + (y + z);100;100;5;1;0.75
281;(x + y) + z;x + (y + z);100;100;5;2;0.66
282;(x + y) + z;x + (y + z);100;100;50;0;0.75
283;(x + y) + z;x + (y + z);100;100;50;1;0.74
284;(x + y) + z;x + (y + z);100;100;50;2;0.8
285;(x + y) + z;x + (y + z);100;10000;0;0;0.75
286;(x + y) + z;x + (y + z);100;10000;0;1;0.77
287;(x + y) + z;x + (y + z);100;10000;0;2;0.72
288;(x + y) + z;x + (y + z);100;10000;1;0;0.8
289;(x + y) + z;x + (y + z);100;10000;1;1;0.73
290;(x + y) + z;x + (y + z);100;10000;1;2;0.74
291;(x + y) + z;x + (y + z);100;10000;2;0;0.71
292;(x + y) + z;x + (y + z);100;10000;2;1;0.75
293;(x + y) + z;x + (y + z);100;10000;2;2;0.78
294;(x + y) + z;x + (y + z);100;10000;5;0;0.76
295;(x + y) + z;x + (y + z);100;10000;5;1;0.78
296;(x + y) + z;x + (y + z);100;10000;5;2;0.74
297;(x + y) + z;x + (y + z);100;10000;50;0;0.78
298;(x + y) + z;x + (y + z);100;10000;50;1;0.74
299;(x + y) + z;x + (y + z);100;10000;50;2;0.73
300;(x + y) + z;x + (y + z);100;1000000;0;0;0.84
301;(x + y) + z;x + (y + z);100;1000000;0;1;0.71
302;(x + y) + z;x + (y + z);100;1000000;0;2;0.78
303;(x + y) + z;x + (y + z);100;1000000;1;0;0.8
304;(x + y) + z;x + (y + z);100;1000000;1;1;0.8
305;(x + y) + z;x + (y + z);100;1000000;1;2;0.75
306;(x + y) + z;x + (y + z);100;1000000;2;0;0.77
307;(x + y) + z;x + (y + z);100;1000000;2;1;0.72
308;(x + y) + z;x + (y + z);100;1000000;2;2;0.81
309;(x + y) + z;x + (y + z);100;1000000;5;0;0.73
310;(x + y) + z;x + (y + z);100;1000000;5;1;0.69
311;(x + y) + z;x + (y + z);100;1000000;5;2;0.73
312;(x + y) + z;x + (y + z);100;1000000;50;0;0.79
313;(x + y) + z;x + (y + z);100;1000000;50;1;0.78
314;(x + y) + z;x + (y + z);100;1000000;50;2;0.79
315;(x + y) + z;x + (y + z);1000;1;0;0;0.975
316;(x + y) + z;x + (y + z);1000;1;0;1;0.828
317;(x + y) + z;x + (y + z);1000;1;0;2;0.808
318;(x + y) + z;x + (y + z);1000;1;1;0;0.962
319;(x + y) + z;x + (y + z);1000;1;1;1;0.766
320;(x + y) + z;x + (y + z);1000;1;1;2;0.714
321;(x + y) + z;x + (y + z);1000;1;2;0;0.962
322;(x + y) + z;x + (y + z);1000;1;2;1;0.778
323;(x + y) + z;x + (y + z);1000;1;2;2;0.766
324;(x + y) + z;x + (y + z);1000;1;5;0;0.971
325;(x + y) + z;x + (y + z);1000;1;5;1;0.754
326;(x + y) + z;x + (y + z);1000;1;5;2;0.763
327;(x + y) + z;x + (y + z);1000;1;50;0;0.978
328;(x + y) + z;x + (y + z);1000;1;50;1;0.825
329;(x + y) + z;x + (y + z);1000;1;50;2;0.831
330;(x + y) + z;x + (y + z);1000;3;0;0;0.894
331;(x + y) + z;x + (y + z);1000;3;0;1;0.816
332;(x + y) + z;x + (y + z);1000;3;0;2;0.776
333;(x + y) + z;x + (y + z);1000;3;1;0;0.897
334;(x + y) + z;x + (y + z);1000;3;1;1;0.757
335;(x + y) + z;x + (y + z);1000;3;1;2;0.745
336;(x + y) + z;x + (y + z);1000;3;2;0;0.9
337;(x + y) + z;x + (y + z);1000;3;2;1;0.76
338;(x + y) + z;x + (y + z);1000;3;2;2;0.776
339;(x + y) + z;x + (y + z);1000;3;5;0;0.888
340;(x + y) + z;x + (y + z);1000;3;5;1;0.754
341;(x + y) + z;x + (y + z);1000;3;5;2;0.752
342;(x + y) + z;x + (y + z);1000;3;50;0;0.902
343;(x + y) + z;x + (y + z);1000;3;50;1;0.8
344;(x + y) + z;x + (y + z);1000;3;50;2;0.788
345;(x + y) + z;x + (y + z);1000;5;0;0;0.876
346;(x + y) + z;x + (y + z);1000;5;0;1;0.792
347;(x + y) + z;x + (y + z);1000;5;0;2;0.766
348;(x + y) + z;x + (y + z);1000;5;1;0;0.861
349;(x + y) + z;x + (y + z);1000;5;1;1;0.75
350;(x + y) + z;x + (y + z);1000;5;1;2;0.74
351;(x + y) + z;x + (y + z);1000;5;2;0;0.836
352;(x + y) + z;x + (y + z);1000;5;2;1;0.769
353;(x + y) + z;x + (y + z);1000;5;2;2;0.763
354;(x + y) + z;x + (y + z);1000;5;5;0;0.85
355;(x + y) + z;x + (y + z);1000;5;5;1;0.747
356;(x + y) + z;x + (y + z);1000;5;5;2;0.763
357;(x + y) + z;x + (y + z);1000;5;50;0;0.87
358;(x + y) + z;x + (y + z);1000;5;50;1;0.784
359;(x + y) + z;x + (y + z);1000;5;50;2;0.756
360;(x + y) + z;x + (y + z);1000;10;0;0;0.84
361;(x + y) + z;x + (y + z);1000;10;0;1;0.785
362;(x + y) + z;x + (y + z);1000;10;0;2;0.758
363;(x + y) + z;x + (y + z);1000;10;1;0;0.804
364;(x + y) + z;x + (y + z);1000;10;1;1;0.773
365;(x + y) + z;x + (y + z);1000;10;1;2;0.776
366;(x + y) + z;x + (y + z);1000;10;2;0;0.788
367;(x + y) + z;x + (y + z);1000;10;2;1;0.749
368;(x + y) + z;x + (y + z);1000;10;2;2;0.765
369;(x + y) + z;x + (y + z);1000;10;5;0;0.815
370;(x + y) + z;x + (y + z);1000;10;5;1;0.744
371;(x + y) + z;x + (y + z);1000;10;5;2;0.751
372;(x + y) + z;x + (y + z);1000;10;50;0;0.831
373;(x + y) + z;x + (y + z);1000;10;50;1;0.764
374;(x + y) + z;x + (y + z);1000;10;50;2;0.769
375;(x + y) + z;x + (y + z);1000;100;0;0;0.759
376;(x + y) + z;x + (y + z);1000;100;0;1;0.757
377;(x + y) + z;x + (y + z);1000;100;0;2;0.763
378;(x + y) + z;x + (y + z);1000;100;1;0;0.764
379;(x + y) + z;x + (y + z);1000;100;1;1;0.742
380;(x + y) + z;x + (y + z);1000;100;1;2;0.721
381;(x + y) + z;x + (y + z);1000;100;2;0;0.791
382;(x + y) + z;x + (y + z);1000;100;2;1;0.762
383;(x + y) + z;x + (y + z);1000;100;2;2;0.731
384;(x + y) + z;x + (y + z);1000;100;5;0;0.764
385;(x + y) + z;x + (y + z);1000;100;5;1;0.737
386;(x + y) + z;x + (y + z);1000;100;5;2;0.736
387;(x + y) + z;x + (y + z);1000;100;50;0;0.75
388;(x + y) + z;x + (y + z);1000;100;50;1;0.752
389;(x + y) + z;x + (y + z);1000;100;50;2;0.737
390;(x + y) + z;x + (y + z);1000;10000;0;0;0.754
391;(x + y) + z;x + (y + z);1000;10000;0;1;0.757
392;(x + y) + z;x + (y + z);1000;10000;0;2;0.781
393;(x + y) + z;x + (y + z);1000;10000;1;0;0.76
394;(x + y) + z;x + (y + z);1000;10000;1;1;0.741
395;(x + y) + z;x + (y + z);1000;10000;1;2;0.733
396;(x + y) + z;x + (y + z);1000;10000;2;0;0.764
397;(x + y) + z;x + (y + z);1000;10000;2;1;0.743
398;(x + y) + z;x + (y + z);1000;10000;2;2;0.754
399;(x + y) + z;x + (y + z);1000;10000;5;0;0.753
400;(x + y) + z;x + (y + z);1000;10000;5;1;0.765
401;(x + y) + z;x + (y + z);1000;10000;5;2;0.75
402;(x + y) + z;x + (y + z);1000;10000;50;0;0.74
403;(x + y) + z;x + (y + z);1000;10000;50;1;0.782
404;(x + y) + z;x + (y + z);1000;10000;50;2;0.754
405;(x + y) + z;x + (y + z);1000;1000000;0;0;0.766
406;(x + y) + z;x + (y + z);1000;1000000;0;1;0.771
407;(x + y) + z;x + (y + z);1000;1000000;0;2;0.74
408;(x + y) + z;x + (y + z);1000;1000000;1;0;0.744
409;(x + y) + z;x + (y + z);1000;1000000;1;1;0.729
410;(x + y) + z;x + (y + z);1000;1000000;1;2;0.733
411;(x + y) + z;x + (y + z);1000;1000000;2;0;0.751
412;(x + y) + z;x + (y + z);1000;1000000;2;1;0.735
413;(x + y) + z;x + (y + z);1000;1000000;2;2;0.75
414;(x + y) + z;x + (y + z);1000;1000000;5;0;0.744
415;(x + y) + z;x + (y + z);1000;1000000;5;1;0.744
416;(x + y) + z;x + (y + z);1000;1000000;5;2;0.733
417;(x + y) + z;x + (y + z);1000;1000000;50;0;0.754
418;(x + y) + z;x + (y + z);1000;1000000;50;1;0.753
419;(x + y) + z;x + (y + z);1000;1000000;50;2;0.749
420;(x + y) + z;x + (y + z);10000;1;0;0;0.9786
421;(x + y) + z;x + (y + z);10000;1;0;1;0.8245
422;(x + y) + z;x + (y + z);10000;1;0;2;0.8224
423;(x + y) + z;x + (y + z);10000;1;1;0;0.9689
424;(x + y) + z;x + (y + z);10000;1;1;1;0.7835
425;(x + y) + z;x + (y + z);10000;1;1;2;0.7385
426;(x + y) + z;x + (y + z);10000;1;2;0;0.9678
427;(x + y) + z;x + (y + z);10000;1;2;1;0.7796
428;(x + y) + z;x + (y + z);10000;1;2;2;0.7582
429;(x + y) + z;x + (y + z);10000;1;5;0;0.969
430;(x + y) + z;x + (y + z);10000;1;5;1;0.7781
431;(x + y) + z;x + (y + z);10000;1;5;2;0.7449
432;(x + y) + z;x + (y + z);10000;1;50;0;0.9799
433;(x + y) + z;x + (y + z);10000;1;50;1;0.821
434;(x + y) + z;x + (y + z);10000;1;50;2;0.824
435;(x + y) + z;x + (y + z);10000;3;0;0;0.9099
436;(x + y) + z;x + (y + z);10000;3;0;1;0.8015
437;(x + y) + z;x + (y + z);10000;3;0;2;0.7851
438;(x + y) + z;x + (y + z);10000;3;1;0;0.8915
439;(x + y) + z;x + (y + z);10000;3;1;1;0.7529
440;(x + y) + z;x + (y + z);10000;3;1;2;0.7466
441;(x + y) + z;x + (y + z);10000;3;2;0;0.894
442;(x + y) + z;x + (y + z);10000;3;2;1;0.7585
443;(x + y) + z;x + (y + z);10000;3;2;2;0.7535
444;(x + y) + z;x + (y + z);10000;3;5;0;0.8996
445;(x + y) + z;x + (y + z);10000;3;5;1;0.7535
446;(x + y) + z;x + (y + z);10000;3;5;2;0.7505
447;(x + y) + z;x + (y + z);10000;3;50;0;0.9101
448;(x + y) + z;x + (y + z);10000;3;50;1;0.7959
449;(x + y) + z;x + (y + z);10000;3;50;2;0.7773
450;(x + y) + z;x + (y + z);10000;5;0;0;0.8783
451;(x + y) + z;x + (y + z);10000;5;0;1;0.7883
452;(x + y) + z;x + (y + z);10000;5;0;2;0.7703
453;(x + y) + z;x + (y + z);10000;5;1;0;0.862
454;(x + y) + z;x + (y + z);10000;5;1;1;0.7614
455;(x + y) + z;x + (y + z);10000;5;1;2;0.7467
456;(x + y) + z;x + (y + z);10000;5;2;0;0.8558
457;(x + y) + z;x + (y + z);10000;5;2;1;0.7619
458;(x + y) + z;x + (y + z);10000;5;2;2;0.7514
459;(x + y) + z;x + (y + z);10000;5;5;0;0.8616
460;(x + y) + z;x + (y + z);10000;5;5;1;0.7547
461;(x + y) + z;x + (y + z);10000;5;5;2;0.7619
462;(x + y) + z;x + (y + z);10000;5;50;0;0.8745
463;(x + y) + z;x + (y + z);10000;5;50;1;0.7804
464;(x + y) + z;x + (y + z);10000;5;50;2;0.7782
465;(x + y) + z;x + (y + z);10000;10;0;0;0.8296
466;(x + y) + z;x + (y + z);10000;10;0;1;0.7833
